source,source_lean,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Free Malaysia Today,independent_left,"Push for Umno’s removal from Cabinet over Najib pardon, DAP told","Analyst and ex-DAP member Ong Kian Ming also warns Umno to tread cautiously, reminding the party that 1MDB was one of the main reasons it fell from power in 2018.",https://www.freemalaysiatoday.com/category/nation/2026/09/19/push-for-umno-s-removal-from-cabinet-over-najib-pardon-dap-told,"Sat, 19 Sep 2026 03:17:54 +0000",2026-09-19T12:31:20.976477,en,"Push for Umno’s removal from Cabinet over Najib pardon, DAP told Analyst and ex-DAP member Ong Kian Ming also warns Umno to tread cautiously, reminding the party that 1MDB was one of the main reasons it fell from power in 2018.",False,True,False
Free Malaysia Today,independent_left,SPRM rakam keterangan Isa di Penjara Sungai Buloh,Ia berkaitan isu pembelian dan pelaburan aset oleh Felda serta Felda Investment Corporation yang disyaki terdapat unsur rasuah dan penyelewengan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/09/19/sprm-rakam-keterangan-isa-di-penjara-sungai-buloh,"Sat, 19 Sep 2026 03:11:47 +0000",2026-09-19T12:31:20.977476,en,SPRM rakam keterangan Isa di Penjara Sungai Buloh Ia berkaitan isu pembelian dan pelaburan aset oleh Felda serta Felda Investment Corporation yang disyaki terdapat unsur rasuah dan penyelewengan.,False,True,False
Free Malaysia Today,independent_left,"Kuasa pengampunan bukan luar undang-undang, kata Azalina",Ketua penerangan Umno berkata kuasa itu diperuntukkan secara nyata oleh Perkara 42 Perlembagaan Persekutuan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/09/19/kuasa-pengampunan-bukan-luar-undang-undang-kata-azalina,"Sat, 19 Sep 2026 02:55:00 +0000",2026-09-19T12:31:20.977476,en,"Kuasa pengampunan bukan luar undang-undang, kata Azalina Ketua penerangan Umno berkata kuasa itu diperuntukkan secara nyata oleh Perkara 42 Perlembagaan Persekutuan.",False,False,False
Free Malaysia Today,independent_left,"Nothing unlawful about pardons, Azalina tells PH","The Umno information chief and law minister reminds Pakatan Harapan that the constitution, Malaysia's supreme law, explicitly provides for pardons.",https://www.freemalaysiatoday.com/category/nation/2026/09/19/nothing-unlawful-about-pardons-azalina-tells-ph,"Sat, 19 Sep 2026 02:36:58 +0000",2026-09-19T12:31:20.977476,en,"Nothing unlawful about pardons, Azalina tells PH The Umno information chief and law minister reminds Pakatan Harapan that the constitution, Malaysia's supreme law, explicitly provides for pardons.",False,True,False
Free Malaysia Today,independent_left,"Beban bertambah, Umno mungkin perlu kendur desakan PRU16 awal, kata penganalisis",Tawfik Yaakub berkata pilihan raya awal berisiko kepada Umno ketika parti itu berdepan kontroversi berkaitan Tabung Haji dan krisis institusi diraja Negeri Sembilan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/09/19/beban-bertambah-umno-mungkin-perlu-kendur-desakan-pru16-awal-kata-penganalisis,"Sat, 19 Sep 2026 02:00:00 +0000",2026-09-19T12:31:20.977476,en,"Beban bertambah, Umno mungkin perlu kendur desakan PRU16 awal, kata penganalisis Tawfik Yaakub berkata pilihan raya awal berisiko kepada Umno ketika parti itu berdepan kontroversi berkaitan Tabung Haji dan krisis institusi diraja Negeri Sembilan.",False,True,False
Free Malaysia Today,independent_left,"Najib house arrest a double-edged sword for Umno, says analyst",The move could shore up Umno’s traditional support while having limited appeal among undecided Malay voters.,https://www.freemalaysiatoday.com/category/nation/2026/09/19/najib-house-arrest-a-double-edged-sword-for-umno-says-analyst,"Sat, 19 Sep 2026 01:30:00 +0000",2026-09-19T12:31:20.977476,en,"Najib house arrest a double-edged sword for Umno, says analyst The move could shore up Umno’s traditional support while having limited appeal among undecided Malay voters.",False,False,False
Free Malaysia Today,independent_left,"Tahanan rumah Najib pedang bermata dua buat Umno, kata penganalisis","Langkah itu mungkin dapat mengukuhkan sokongan tradisional Umno, tetapi akan menolak pengundi Melayu atas pagar dan kelas pertengahan menjauhi parti berkenaan.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/09/19/tahanan-rumah-najib-pedang-bermata-dua-buat-umno-kata-penganalisis,"Sat, 19 Sep 2026 01:30:00 +0000",2026-09-19T12:31:20.977476,en,"Tahanan rumah Najib pedang bermata dua buat Umno, kata penganalisis Langkah itu mungkin dapat mengukuhkan sokongan tradisional Umno, tetapi akan menolak pengundi Melayu atas pagar dan kelas pertengahan menjauhi parti berkenaan.",False,False,False
Free Malaysia Today,independent_left,"Cops, MCMC must probe alleged insult to Rukun Negara in viral video, says minister",National unity minister Aaron Ago Dagang says the video of the stage act also contains elements deemed insulting to the institution of the Malay rulers.,https://www.freemalaysiatoday.com/category/nation/2026/09/19/cops-mcmc-must-probe-alleged-insult-to-rukun-negara-in-viral-video-says-minister,"Sat, 19 Sep 2026 01:03:26 +0000",2026-09-19T12:31:20.977476,en,"Cops, MCMC must probe alleged insult to Rukun Negara in viral video, says minister National unity minister Aaron Ago Dagang says the video of the stage act also contains elements deemed insulting to the institution of the Malay rulers.",False,True,False
Free Malaysia Today,independent_left,"Latar belakang sosioekonomi keluarga ‘pengaruh besar’ terhadap Pisa, kata PAGE",Kumpulan Ibu Bapa Bertindak Untuk Pendidikan menekankan jurang 82 mata dalam skor sains antara pelajar daripada latar belakang sosioekonomi 25% teratas dan 25% terbawah.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/09/19/latar-belakang-sosioekonomi-keluarga-pengaruh-besar-terhadap-pisa-kata-page,"Sat, 19 Sep 2026 00:53:00 +0000",2026-09-19T12:31:20.977476,en,"Latar belakang sosioekonomi keluarga ‘pengaruh besar’ terhadap Pisa, kata PAGE Kumpulan Ibu Bapa Bertindak Untuk Pendidikan menekankan jurang 82 mata dalam skor sains antara pelajar daripada latar belakang sosioekonomi 25% teratas dan 25% terbawah.",False,True,False
Free Malaysia Today,independent_left,Umno wants state govt aligned with palace in Negeri Sembilan crisis,Syaza Shukri says Umno may frame its support for the proclamation as defending the royal institution.,https://www.freemalaysiatoday.com/category/nation/2026/09/19/umno-wants-state-govt-aligned-with-palace-in-negeri-sembilan-crisis,"Sat, 19 Sep 2026 00:30:00 +0000",2026-09-19T12:31:20.977476,en,Umno wants state govt aligned with palace in Negeri Sembilan crisis Syaza Shukri says Umno may frame its support for the proclamation as defending the royal institution.,False,True,False
