source,source_lean,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Free Malaysia Today,independent_left,BN Pahang mahu kekal kerajaan perpaduan bersama PH hingga PRU16,Pengerusi Wan Rosdy Wan Ismail yang juga menteri besar Pahang berkata pihaknya terus komited menjalankan tugas bagi memastikan kesejahteraan rakyat negeri.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/bn-pahang-mahu-kekal-kerajaan-perpaduan-bersama-ph-hingga-pru16,"Fri, 14 Aug 2026 09:59:00 +0000",2026-08-14T20:51:23.997203,en,BN Pahang mahu kekal kerajaan perpaduan bersama PH hingga PRU16 Pengerusi Wan Rosdy Wan Ismail yang juga menteri besar Pahang berkata pihaknya terus komited menjalankan tugas bagi memastikan kesejahteraan rakyat negeri.,False,False,False
Free Malaysia Today,independent_left,Asyraf threatens to sue netizens over TH claims,"Umno secretary-general says letters of demand will be served to several social media account holders, seeking a total of RM5 million in compensation for alleged defamation.",https://www.freemalaysiatoday.com/category/nation/2026/08/14/asyraf-threatens-to-sue-netizens-over-th-claims,"Fri, 14 Aug 2026 09:54:00 +0000",2026-08-14T20:51:23.997203,en,"Asyraf threatens to sue netizens over TH claims Umno secretary-general says letters of demand will be served to several social media account holders, seeking a total of RM5 million in compensation for alleged defamation.",False,True,False
Free Malaysia Today,independent_left,Pahang BN wants unity govt with PH to last till GE16,State Barisan Nasional chairman Wan Rosdy Wan Ismail says the leadership remains committed to working with Pakatan Harapan while keeping its options open for the next general election.,https://www.freemalaysiatoday.com/category/nation/2026/08/14/pahang-bn-wants-unity-govt-with-ph-to-last-till-ge16,"Fri, 14 Aug 2026 09:40:00 +0000",2026-08-14T20:51:23.997203,en,Pahang BN wants unity govt with PH to last till GE16 State Barisan Nasional chairman Wan Rosdy Wan Ismail says the leadership remains committed to working with Pakatan Harapan while keeping its options open for the next general election.,False,True,False
Free Malaysia Today,independent_left,Beberapa kawasan di Puncak Alam dilanda banjir kilat,"Susulan hujan lebat tengah hari tadi, air melimpah di atas permukaan jalan sedalam 0.3m, manakala pengguna media sosial kongsi video air naik di beberapa lokasi.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/beberapa-kawasan-di-puncak-alam-dilanda-banjir-kilat,"Fri, 14 Aug 2026 09:36:00 +0000",2026-08-14T20:51:23.997203,en,"Beberapa kawasan di Puncak Alam dilanda banjir kilat Susulan hujan lebat tengah hari tadi, air melimpah di atas permukaan jalan sedalam 0.3m, manakala pengguna media sosial kongsi video air naik di beberapa lokasi.",False,False,False
Free Malaysia Today,independent_left,"Aktivis reformasi hanya mahu agenda disempurnakan, kata NGO pro-PKR","Berani menyampaikan kebenaran juga adalah kesetiaan, kata bekas Ahli Parlimen Yusmadi Yusoff.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/aktivis-reformasi-hanya-mahu-agenda-disempurnakan-kata-ngo-pro-pkr,"Fri, 14 Aug 2026 09:10:39 +0000",2026-08-14T20:51:23.997203,en,"Aktivis reformasi hanya mahu agenda disempurnakan, kata NGO pro-PKR Berani menyampaikan kebenaran juga adalah kesetiaan, kata bekas Ahli Parlimen Yusmadi Yusoff.",False,False,False
Free Malaysia Today,independent_left,"Defections to Bersama have not weakened PKR, says youth chief",Kamil Munim says PKR remains strong despite some members leaving to join Rafizi Ramli’s new party.,https://www.freemalaysiatoday.com/category/nation/2026/08/14/defections-to-bersama-have-not-weakened-pkr-says-youth-chief,"Fri, 14 Aug 2026 09:01:00 +0000",2026-08-14T20:51:23.997203,en,"Defections to Bersama have not weakened PKR, says youth chief Kamil Munim says PKR remains strong despite some members leaving to join Rafizi Ramli’s new party.",False,True,False
Free Malaysia Today,independent_left,"Parti Rafizi tak gugat PKR, kata Pemuda",Ketua Pemuda Kamil Munim berkata penyertaan bekas ahli PKR dalam Bersama tidak menjejaskan kekuatan parti secara keseluruhan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/parti-rafizi-tak-gugat-pkr-kata-pemuda,"Fri, 14 Aug 2026 08:45:00 +0000",2026-08-14T20:51:23.997203,en,"Parti Rafizi tak gugat PKR, kata Pemuda Ketua Pemuda Kamil Munim berkata penyertaan bekas ahli PKR dalam Bersama tidak menjejaskan kekuatan parti secara keseluruhan.",False,False,False
Malaysiakini,independent_left,"Despite election defeats and gloomy forecast, youth minister still hopeful for Anwar's 2nd term","He's leading the government with great brilliance, says Taufiq.",https://www.malaysiakini.com/news/782170,"Fri, 14 Aug 2026 11:40:23 GMT",2026-08-14T20:51:25.771640,en,"Despite election defeats and gloomy forecast, youth minister still hopeful for Anwar's 2nd term He's leading the government with great brilliance, says Taufiq.",False,False,False
Malaysiakini,independent_left,SNAPSHOT | Kamil: PKR No 2 vacancy won't affect preparations for polls; Asyraf issues LODs to defamers,"What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",https://www.malaysiakini.com/news/782164,"Fri, 14 Aug 2026 10:03:08 GMT",2026-08-14T20:51:25.771640,en,"SNAPSHOT | Kamil: PKR No 2 vacancy won't affect preparations for polls; Asyraf issues LODs to defamers What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",False,True,False
Malaysiakini,independent_left,Nurul Izzah details dreams of a PKR immune to factions and 'hidden hands',Ex-MP also urges party to have own 'red lines'.,https://www.malaysiakini.com/news/782162,"Fri, 14 Aug 2026 09:02:20 GMT",2026-08-14T20:51:25.771640,en,Nurul Izzah details dreams of a PKR immune to factions and 'hidden hands' Ex-MP also urges party to have own 'red lines'.,False,True,False
Malaysiakini,independent_left,Don proposes 'democratically appointed reps' in Penang to break BN-PN convergence,"Harapan must consider more fundamental institutional reforms, says Wong.",https://www.malaysiakini.com/news/782160,"Fri, 14 Aug 2026 08:53:42 GMT",2026-08-14T20:51:25.771640,en,"Don proposes 'democratically appointed reps' in Penang to break BN-PN convergence Harapan must consider more fundamental institutional reforms, says Wong.",False,True,False
Malaysiakini,independent_left,SNAPSHOT | No decision yet on digitalisation of postal votes - EC; unhealthy air levels in 10 areas,"What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",https://www.malaysiakini.com/news/782138,"Fri, 14 Aug 2026 06:00:58 GMT",2026-08-14T20:51:25.772654,en,"SNAPSHOT | No decision yet on digitalisation of postal votes - EC; unhealthy air levels in 10 areas What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",False,False,False
Malaysiakini,independent_left,"'Can't please everyone,' says Nurul Izzah on resignation criticism",This comes amid continued internal friction following Rafizi's departure from PKR.,https://www.malaysiakini.com/news/782124,"Fri, 14 Aug 2026 04:12:53 GMT",2026-08-14T20:51:25.772654,en,"'Can't please everyone,' says Nurul Izzah on resignation criticism This comes amid continued internal friction following Rafizi's departure from PKR.",False,False,False
Malaysiakini,independent_left,Ramkarpal wants DAP to make clear they can leave govt if Putrajaya crosses 'red line',UPDATED 12.47PM | Party leader calls for some flexibility to revisit decision if delegates vote to stay in govt.,https://www.malaysiakini.com/news/782112,"Fri, 14 Aug 2026 02:00:00 GMT",2026-08-14T20:51:25.772654,en,Ramkarpal wants DAP to make clear they can leave govt if Putrajaya crosses 'red line' UPDATED 12.47PM | Party leader calls for some flexibility to revisit decision if delegates vote to stay in govt.,False,False,False
Malaysiakini,independent_left,SNAPSHOT | Pahang villagers duped into PKR membership claim under probe; Bahrain F1 tickets on sale,"What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",https://www.malaysiakini.com/news/782108,"Fri, 14 Aug 2026 01:18:10 GMT",2026-08-14T20:51:25.772654,en,"SNAPSHOT | Pahang villagers duped into PKR membership claim under probe; Bahrain F1 tickets on sale What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",False,False,False
Malaysiakini,independent_left,"Kamil: Election losses not 'total rejection' by voters, learn from them",'Defeat is not a reason for us to give up.',https://www.malaysiakini.com/news/782105,"Fri, 14 Aug 2026 00:45:53 GMT",2026-08-14T20:51:25.772654,en,"Kamil: Election losses not 'total rejection' by voters, learn from them 'Defeat is not a reason for us to give up.'",False,False,False
Malaysiakini,independent_left,PTPTN 'ghost' returns as Kamil proposes loan waivers; wants 300-litre Budi95 quota reinstated,"PKR Youth chief also calls for affordable housing, jobs, wages to be addressed.",https://www.malaysiakini.com/news/782103,"Fri, 14 Aug 2026 00:03:57 GMT",2026-08-14T20:51:25.772654,en,"PTPTN 'ghost' returns as Kamil proposes loan waivers; wants 300-litre Budi95 quota reinstated PKR Youth chief also calls for affordable housing, jobs, wages to be addressed.",False,True,False
Malaysiakini,independent_left,SNAPSHOT | AirAsia suffers RM527.16m net loss in Q2; Warisan MP denies resigning as federal deputy minister,"What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",https://www.malaysiakini.com/news/782097,"Thu, 13 Aug 2026 13:09:04 GMT",2026-08-14T20:51:25.772654,en,"SNAPSHOT | AirAsia suffers RM527.16m net loss in Q2; Warisan MP denies resigning as federal deputy minister What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",False,False,False
Malaysiakini,independent_left,Asyraf denies role in Tabung Haji's Al-Rawda loss-making investment,"'As then-deputy minister, I have no authority in approval processes.'",https://www.malaysiakini.com/news/782085,"Thu, 13 Aug 2026 10:49:11 GMT",2026-08-14T20:51:25.772654,en,"Asyraf denies role in Tabung Haji's Al-Rawda loss-making investment 'As then-deputy minister, I have no authority in approval processes.'",False,False,False
Malaysiakini,independent_left,"After court defeat, PAS asks Muslim voters to put party in federal govt to end gambling","UPDATED 4.31PM | Kedah govt has done all it can to eradicate gambling, Nor says.",https://www.malaysiakini.com/news/782060,"Thu, 13 Aug 2026 07:09:36 GMT",2026-08-14T20:51:25.772654,en,"After court defeat, PAS asks Muslim voters to put party in federal govt to end gambling UPDATED 4.31PM | Kedah govt has done all it can to eradicate gambling, Nor says.",False,False,False
Malaysiakini,independent_left,"Tabung Haji RCI: Dock opposition MPs' allowances for skipping work, pundits say","'If ordinary workers face disciplinary action for absence without good reason, what about MPs?'",https://www.malaysiakini.com/news/782053,"Thu, 13 Aug 2026 06:16:28 GMT",2026-08-14T20:51:25.772654,en,"Tabung Haji RCI: Dock opposition MPs' allowances for skipping work, pundits say 'If ordinary workers face disciplinary action for absence without good reason, what about MPs?'",False,False,False
Malaysiakini,independent_left,SNAPSHOT | Anwar back home after surgery; works minister to retire from Parliament,"What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",https://www.malaysiakini.com/news/782017,"Thu, 13 Aug 2026 01:00:00 GMT",2026-08-14T20:51:25.772654,en,"SNAPSHOT | Anwar back home after surgery; works minister to retire from Parliament What's going on in the news today, with updates at 9am, 2pm, 6pm, and 9pm.",False,False,False
Malay Mail,centrist,Fadhlina urges PKR members to focus on ideas instead of exploiting religion,"MELAKA, Aug 14 &mdash; Political competition should be based on ideas and the ability to offer the best solutions to the...",https://www.malaymail.com/news/malaysia/2026/08/14/fadhlina-urges-pkr-members-to-focus-on-ideas-instead-of-exploiting-religion/231401,"Fri, 14 Aug 2026 20:12:31 +0800",2026-08-14T20:51:27.544591,en,"Fadhlina urges PKR members to focus on ideas instead of exploiting religion MELAKA, Aug 14 &mdash; Political competition should be based on ideas and the ability to offer the best solutions to the...",False,True,True
Malay Mail,centrist,Health minister warns contractors: Show progress or risk losing MOH projects,"KUALA LUMPUR, Aug 14 &mdash; The Ministry of Health (MOH) will not compromise on unreasonable delays in over 1,300 healt...",https://www.malaymail.com/news/malaysia/2026/08/14/health-minister-warns-contractors-show-progress-or-risk-losing-moh-projects/231399,"Fri, 14 Aug 2026 20:09:29 +0800",2026-08-14T20:51:27.544591,en,"Health minister warns contractors: Show progress or risk losing MOH projects KUALA LUMPUR, Aug 14 &mdash; The Ministry of Health (MOH) will not compromise on unreasonable delays in over 1,300 healt...",False,True,False
Malay Mail,centrist,"Thunderstorms, heavy rain ahead tonight for Selangor, Perak, Johor and four other states, MetMalaysia warns","KUALA LUMPUR, Aug 14 &mdash; The Malaysian Meteorological Department (MetMalaysia) has issued a warning for thunderstorm...",https://www.malaymail.com/news/malaysia/2026/08/14/thunderstorms-heavy-rain-ahead-tonight-for-selangor-perak-johor-and-four-other-states-metmalaysia-warns/231398,"Fri, 14 Aug 2026 19:50:44 +0800",2026-08-14T20:51:27.544591,en,"Thunderstorms, heavy rain ahead tonight for Selangor, Perak, Johor and four other states, MetMalaysia warns KUALA LUMPUR, Aug 14 &mdash; The Malaysian Meteorological Department (MetMalaysia) has issued a warning for thunderstorm...",True,True,False
