date,klci_actual,klci_predicted,usd_myr_actual,usd_myr_predicted,klci_pct_change,usdmyr_pct_change,economic_pressure_score
2025-01-02,1632.8699951171873,1643.0968212821242,4.46999979019165,4.462489296179768,0.006263098835497301,-0.0016802000815216958,-0.10321759134844147
2025-01-03,1629.4599609375,1636.1264303012065,4.482500076293945,4.462159842565654,0.004091213974887097,-0.004537698467839833,-0.021395901363034375
2025-01-06,1625.469970703125,1628.7406308796706,4.497499942779541,4.470212614449906,0.0020121320205815805,-0.006067221495676281,0.04079525210311935
2025-01-07,1629.7900390625,1624.159180647053,4.510000228881836,4.484294938398222,-0.00345495939997643,-0.005699620660548719,0.14559952603051018
2025-01-08,1614.8299560546873,1626.620067013049,4.485000133514404,4.499287722284137,0.007301147042854638,0.0031856384268459954,-0.18915470175053478
2025-01-09,1600.81005859375,1619.7396986405072,4.5,4.506544736977375,0.011825038170603541,0.0014543859949722243,-0.2567839087845989
2025-01-10,1602.4100341796875,1604.4759547326828,4.500500202178955,4.511330408824136,0.0012892583726567145,0.0024064450969111767,-0.058072680303257844
2025-01-13,1585.5899658203127,1600.0764419630575,4.49399995803833,4.511571824499228,0.009136331873322702,0.00391007268023389,-0.235679013996313
2025-01-14,1576.4599609375,1590.4970057615717,4.507500171661377,4.509877066626757,0.0089041556220204,0.0005273199944225147,-0.18575884006734
2025-01-15,1562.1199951171875,1578.6531144580729,4.502500057220459,4.510840856179485,0.010583770384198362,0.001852481699728099,-0.23719851219337396
2025-01-16,1555.5400390625,1565.5818397740074,4.496500015258789,4.5129835167079335,0.0064555077075094044,0.003665851527456466,-0.1786081478524893
2025-01-17,1566.719970703125,1557.073495465738,4.5,4.513319471246206,-0.006157115130828244,0.002959882499156821,0.08396866937619822
2025-01-20,1572.3399658203127,1563.0102368726655,4.503499984741211,4.510472727575888,-0.005933658846342304,0.001548294184146049,0.09837071268420554
2025-01-21,1580.4599609375,1572.017852364508,4.490499973297119,4.50693181742767,-0.005341551688525142,0.0036592460145336843,0.05824325723056498
2025-01-22,1587.800048828125,1580.77259128962,4.472499847412109,4.500527415465541,-0.004425908377878887,0.006266644831670378,0.004980190056880832
2025-01-23,1577.199951171875,1588.736975194595,4.433000087738037,4.4901207581102796,0.0073148772380749435,0.012885330304919661,-0.31920997034035953
